agent,n_episodes,P,M,D,share_exhaustion,D_all,scenario,M_per_product,D_per_product,break_even_m,break_even_h
empirical_topsis,1,28040.0,518444.0,39051.0,0.35850554403216306,39051.0,lifecycle,18.48944365192582,1.3926890156918688,0.05408491563216085,0.7180353896187037
ft_protect_last,1,27277.0,540199.0,41199.0,,41199.0,lifecycle,19.804194009605162,1.5103933717050995,0.0504943548581171,0.6620791766790456
ft_gini,1,27237.0,533491.0,44509.0,,44509.0,lifecycle,19.586995630943203,1.6341373866431692,0.05105428207786073,0.6119436518456941
topsis,1,26860.0,517889.0,39202.0,,39202.0,lifecycle,19.281049888309756,1.459493670886076,0.051864395652350216,0.6851691240242844
ft_gini_last,1,26674.0,532116.0,45303.0,,45303.0,lifecycle,19.948864062382846,1.6983954412536553,0.050128167542415565,0.5887910292916584
least_fatigued,1,26673.0,502804.0,39930.0,0.37067367893814174,39930.0,lifecycle,18.850672965170773,1.497019457878754,0.053048503989626176,0.6679939894815928
shortest_queue,1,26673.0,502804.0,39930.0,0.37067367893814174,39930.0,lifecycle,18.850672965170773,1.497019457878754,0.053048503989626176,0.6679939894815928
empirical_spt,1,26453.0,523928.0,49700.0,0.4936217303822938,49700.0,lifecycle,19.80599553925831,1.8788039163799948,0.05048976195202394,0.5322535211267606
random,1,25665.0,491760.0,50232.0,0.49936295588469504,50232.0,lifecycle,19.160724722384572,1.957218001168907,0.05219009272816008,0.5109292881032012
round_robin,1,24928.0,495739.0,46651.0,0.46642086986345416,46651.0,lifecycle,19.88683408215661,1.8714297175866494,0.05028452471966095,0.5343508177745386
po_v6,1,24632.0,519554.0,43767.0,,43767.0,lifecycle,21.09264371549204,1.776835011367327,0.04740989387051202,0.562798455457308
po_v6_last,1,24632.0,519554.0,43767.0,,43767.0,lifecycle,21.09264371549204,1.776835011367327,0.04740989387051202,0.562798455457308
dql_mlp,1,22871.0,480156.0,57942.0,0.5678705497180274,57942.0,lifecycle,20.9940973284946,2.5334266101176164,0.04763243612492606,0.39472230851541196
a2c_mlp,1,22715.0,474259.0,58844.0,0.5709673033784243,58844.0,lifecycle,20.87867048206031,2.5905348888399735,0.04789577003283016,0.3860206648086466
grpo_mlp,1,22546.0,470145.0,57976.0,0.5657168483510419,57976.0,lifecycle,20.852701144327153,2.5714539164375054,0.047955418009337544,0.3888850558851939
least_busy,1,22430.0,476379.0,59121.0,0.5729097951658463,59121.0,lifecycle,21.238475256353098,2.6358002674988854,0.047084359302152275,0.3793914176011908
dql_mlp_last,1,21912.0,479140.0,57142.0,,57142.0,lifecycle,21.866557137641475,2.607794815626141,0.04573193638602496,0.3834657519862798
reserve_specialist,1,21912.0,468306.0,51230.0,,51230.0,lifecycle,21.372124863088718,2.3379883169039797,0.04678991941166673,0.4277181339059145
grpo_mlp_last,1,20397.0,465395.0,58130.0,,58130.0,lifecycle,22.816835809187626,2.8499289111143797,0.04382728649856574,0.35088594529502837
a2c_mlp_last,1,19758.0,468749.0,57864.0,,57864.0,lifecycle,23.724516651482944,2.9286365016702094,0.04215048992104516,0.34145582745748654
train_weakest,1,17630.0,445375.0,59588.0,0.5760891454655299,59588.0,lifecycle,25.26233692569484,3.3799205899035734,0.039584619702497895,0.29586493924951335
